gene	mean	lfc	p	padj	group1	group2	contrast	isDE
NonamEVm007624	111.76880261943693	-3.0734214786011673	1.4928472161673705e-17	1.0188424862891241e-15	long	short	long_short	TRUE
NonamEVm007816	577.2876678432821	3.2942850334239107	1.621029578108067e-17	1.0987471715724269e-15	long	short	long_short	TRUE
NonamEVm001009	259.08417407955767	-2.165678796246863	2.0943754089932327e-17	1.4099278263535394e-15	long	short	long_short	TRUE
NonamEVm008660	1350.7862378386644	2.2983710637145855	2.914815524862766e-17	1.9489874617595903e-15	long	short	long_short	TRUE
NonamEVm000021	592.6211075580575	-2.661019823613045	3.0265213634254355e-17	2.0100976786884636e-15	long	short	long_short	TRUE
NonamEVm003630	61.30232453550369	-3.7903194240022544	3.1731193379556084e-17	2.093412597893913e-15	long	short	long_short	TRUE
NonamEVm004356	86.01797167150343	4.016455326640715	4.132499701536732e-17	2.7082925196296357e-15	long	short	long_short	TRUE
NonamEVm000742	241.43379497129422	-2.676689508590272	4.7057961400490685e-17	3.0637209606529988e-15	long	short	long_short	TRUE
NonamEVm000340	493.9255415020843	-2.1176241000193374	5.2614083425240884e-17	3.403065160628652e-15	long	short	long_short	TRUE
NonamEVm002141	68.18695811713883	-3.6743564170445713	6.585233018318792e-17	4.231653633070309e-15	long	short	long_short	TRUE
NonamEVm000416	613.9995100654605	-2.2585966463168985	6.715351675900116e-17	4.28742710869081e-15	long	short	long_short	TRUE
NonamEVm000082	373.8952081673342	-2.412146712480516	6.996711758736728e-17	4.438426895157606e-15	long	short	long_short	TRUE
NonamEVm004478	1222.9446086878067	-3.262576533631957	9.161074850111184e-17	5.774394695331228e-15	long	short	long_short	TRUE
NonamEVm005899	40.4919270520448	-3.970103229285938	1.110510281006122e-16	6.955449203061129e-15	long	short	long_short	TRUE
NonamEVm000011	540.6740842354473	-1.9549094998998515	1.2004808379770303e-16	7.471671932465844e-15	long	short	long_short	TRUE
NonamEVm000830	214.68348260475892	-2.5049644229600174	1.3498102084496313e-16	8.34857613926097e-15	long	short	long_short	TRUE
NonamEVm006070	208.18271182513897	3.825877462514031	1.3786738244111805e-16	8.474134264827977e-15	long	short	long_short	TRUE
NonamEVm008066	387.1757443401087	3.202660460996935	1.4075634824176516e-16	8.598301371608073e-15	long	short	long_short	TRUE
NonamEVm002767	456.6710845371443	-3.0655971186200923	1.489097690944093e-16	9.040558742075304e-15	long	short	long_short	TRUE
NonamEVm007049	167.6730799642238	-2.54543651504094	1.5096815368940575e-16	9.109639322624143e-15	long	short	long_short	TRUE
NonamEVm002736	1832.2346457646127	-2.31480300554101	1.674953778413492e-16	1.0045662176472677e-14	long	short	long_short	TRUE
NonamEVm000054	60.32047449965808	-3.2043708106489586	1.9016023889985258e-16	1.1336299543090007e-14	long	short	long_short	TRUE
NonamEVm000162	790.7591743391059	-1.9836451531856505	2.220931274106633e-16	1.3160680172789963e-14	long	short	long_short	TRUE
NonamEVm001171	946.1161738509768	-1.9810013880374147	2.2818542978882134e-16	1.3441208411846286e-14	long	short	long_short	TRUE
NonamEVm000179	2265.395098210023	-2.8990436896454446	2.5565825145261475e-16	1.497037903180518e-14	long	short	long_short	TRUE
NonamEVm001875	260.87541520000906	-2.206383471339964	2.680376312628756e-16	1.5602943523396568e-14	long	short	long_short	TRUE
NonamEVm000600	424.68166279886293	-2.1322719641308594	3.15849631570283e-16	1.8172371825694887e-14	long	short	long_short	TRUE
NonamEVm000722	451.997458681651	-2.0176393740264897	3.150529692057544e-16	1.8172371825694887e-14	long	short	long_short	TRUE
NonamEVm001398	92.21679573596406	-2.852431306687844	3.457046521807364e-16	1.977510542185299e-14	long	short	long_short	TRUE
NonamEVm000333	70.57596139876675	-3.0869189135525166	3.66425952754272e-16	2.0839949588829173e-14	long	short	long_short	TRUE
NonamEVm000178	2155.9979266407586	-2.3135917949582	4.067803717827391e-16	2.3002848909497063e-14	long	short	long_short	TRUE
NonamEVm000101	1132.5129461343984	-2.687239650603172	6.064954888365051e-16	3.4101587258670766e-14	long	short	long_short	TRUE
NonamEVm000253	756.0489683556929	-2.122672521758866	6.946205612590363e-16	3.883596087129618e-14	long	short	long_short	TRUE
NonamEVm000218	97.50025703475208	-3.9786594373711948	7.201929587849012e-16	4.0039491686153837e-14	long	short	long_short	TRUE
NonamEVm011447	2330.884189914688	8.272720820540256	8.407229400923573e-16	4.647929729136295e-14	long	short	long_short	TRUE
NonamEVm002855	3905.5431244023703	-1.781086279104858	8.933011925149985e-16	4.9111714450713475e-14	long	short	long_short	TRUE
NonamEVm000778	105.88311606088675	-3.3867190514298864	9.027446451140706e-16	4.935669065220355e-14	long	short	long_short	TRUE
NonamEVm000423	68.54286797469373	-3.0182261680359583	9.220350468417184e-16	5.013438914036069e-14	long	short	long_short	TRUE
NonamEVm009517	908.3867717120755	-1.997132055725812	1.0497038999796783e-15	5.676431581529451e-14	long	short	long_short	TRUE
NonamEVm010190	632.5951822037242	2.4705328725083606	1.190253238621671e-15	6.401492418152205e-14	long	short	long_short	TRUE
NonamEVm011490	358.5611693647926	3.192284542255238	1.5939177270576152e-15	8.483264770600899e-14	long	short	long_short	TRUE
NonamEVm003304	434.8867439235638	2.2577932350467123	1.5944697325502904e-15	8.483264770600899e-14	long	short	long_short	TRUE
NonamEVm000728	284.58121819597864	-2.0630041991946686	2.2043393536357187e-15	1.1665316707796296e-13	long	short	long_short	TRUE
NonamEVm001998	184.86436999418237	-2.841456105727636	2.5980540722328985e-15	1.3675714414264236e-13	long	short	long_short	TRUE
NonamEVm001539	260.98488938169925	-2.2094560421930916	2.6387924921278328e-15	1.3816661641321181e-13	long	short	long_short	TRUE
NonamEVm003729	35.05987786838659	-4.817426461517651	2.956131310324383e-15	1.5396776551036891e-13	long	short	long_short	TRUE
NonamEVm000059	2151.8301445593124	-2.634102973119963	3.334956252863733e-15	1.7278914700701308e-13	long	short	long_short	TRUE
NonamEVm002164	2578.059838549035	-3.9607031084089512	3.3605903168231845e-15	1.732104259129283e-13	long	short	long_short	TRUE
NonamEVm000468	516.7080977917865	-1.7950783530534187	3.6935986474426985e-15	1.893878353113624e-13	long	short	long_short	TRUE
NonamEVm007778	543.885006218079	-2.632007843436859	4.205998638596718e-15	2.134490386028365e-13	long	short	long_short	TRUE
NonamEVm010357	710.8061923028007	2.589875392553583	4.198884291474528e-15	2.134490386028365e-13	long	short	long_short	TRUE
NonamEVm000402	140.69959055508218	-2.5011270215447916	4.297410091960492e-15	2.169753585206175e-13	long	short	long_short	TRUE
NonamEVm005837	2058.48849467745	-2.239520247830744	5.218763044633416e-15	2.621567466481842e-13	long	short	long_short	TRUE
NonamEVm000659	64.33030633955447	-4.196462995072092	5.371480908556575e-15	2.684655306619993e-13	long	short	long_short	TRUE
NonamEVm002353	314.2315422756039	-2.4816404229015205	5.44460948088063e-15	2.7075304232560157e-13	long	short	long_short	TRUE
NonamEVm011640	88.12529688046746	3.628194330128774	5.75036319180241e-15	2.845279707303832e-13	long	short	long_short	TRUE
NonamEVm006924	1602.1744936645837	2.0567201763791467	5.931489253035427e-15	2.9202993854745565e-13	long	short	long_short	TRUE
NonamEVm005639	875.5224044853458	2.050564547349491	6.542909274048193e-15	3.2053777314842036e-13	long	short	long_short	TRUE
NonamEVm000499	302.6255957058456	-2.231011405359322	7.488067478261134e-15	3.6503406780725213e-13	long	short	long_short	TRUE
NonamEVm004009	911.8932272341732	1.842985788623911	8.575764465518458e-15	4.1600865269985617e-13	long	short	long_short	TRUE
NonamEVm003225	64.801744090662993	-3.3814437464402247	1.0893507374238256e-14	5.25864141343716e-13	long	short	long_short	TRUE
NonamEVm000044	624.3065237957433	-2.691695481350915	1.0972646734422611e-14	5.271131654555639e-13	long	short	long_short	TRUE
NonamEVm006926	635.4397908890842	2.204488737575904	1.1379985155302659e-14	5.44040256506643e-13	long	short	long_short	TRUE
