term	gene	description	ontology
GO:0000041	NonamEVm008313	transition metal ion transport	BP
GO:0000041	NonamEVm008880	transition metal ion transport	BP
GO:0000041	NonamEVm008964	transition metal ion transport	BP
GO:0000041	NonamEVm002025	transition metal ion transport	BP
GO:0000045	NonamEVm001967	autophagosome assembly	BP
GO:0000045	NonamEVm001444	autophagosome assembly	BP
GO:0000045	NonamEVm005782	autophagosome assembly	BP
GO:0000045	NonamEVm005513	autophagosome assembly	BP
GO:0000045	NonamEVm006402	autophagosome assembly	BP
GO:0000045	NonamEVm004669	autophagosome assembly	BP
GO:0000045	NonamEVm012376	autophagosome assembly	BP
GO:0000049	NonamEVm000776	tRNA binding	MF
GO:0000049	NonamEVm002022	tRNA binding	MF
GO:0000049	NonamEVm003997	tRNA binding	MF
GO:0000049	NonamEVm006623	tRNA binding	MF
GO:0000049	NonamEVm005007	tRNA binding	MF
GO:0000049	NonamEVm004953	tRNA binding	MF
GO:0000049	NonamEVm003498	tRNA binding	MF
GO:0000049	NonamEVm005539	tRNA binding	MF
GO:0000049	NonamEVm005945	tRNA binding	MF
GO:0000049	NonamEVm003497	tRNA binding	MF
GO:0000049	NonamEVm006363	tRNA binding	MF
GO:0000049	NonamEVm007425	tRNA binding	MF
GO:0000049	NonamEVm006753	tRNA binding	MF
GO:0000049	NonamEVm003959	tRNA binding	MF
GO:0000049	NonamEVm004815	tRNA binding	MF
GO:0000049	NonamEVm008735	tRNA binding	MF
GO:0000049	NonamEVm003547	tRNA binding	MF
GO:0000054	NonamEVm003969	ribosomal subunit export from nucleus	BP
GO:0000054	NonamEVm002017	ribosomal subunit export from nucleus	BP
GO:0000055	NonamEVm003969	ribosomal large subunit export from nucleus	BP
GO:0000055	NonamEVm002017	ribosomal large subunit export from nucleus	BP
GO:0000062	NonamEVm006575	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm005196	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm012823	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm008642	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm002158	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm008818	fatty-acyl-CoA binding	MF
GO:0000062	NonamEVm003609	fatty-acyl-CoA binding	MF
